T [s];X_acc [G];Y_acc [G];Z_acc [G];HX_acc [G];Pressure [Pa];Kalman pressure [Pa];Temperature [C];Vaxis [m/s];AltitudeFromPressure [m];AltitudeFromAcc [m];State;VelocityPressure [m/s];ParachuteFailureSenseCnt
0,74;1,09492273730684;0,0706401766004415;-0,129506990434143;0,977099236641221;99637;99600;3,4;0;0;0;1;0;0;
0,75;1,0831493745401;0,0706401766004415;-0,141280353200883;0,977099236641221;99612;99601;3,4;0;0;0;1;0;0;
0,76;1,09492273730684;0,047093451066961;-0,117733627667403;0,977099236641221;99611;99601;3,7;0;0;0;1;0;0;
0,77;1,43635025754231;0,188373804267844;-0,141280353200883;0,977099236641221;99617;99602;3,9;0;0;0;1;0;0;
0,78;1,6953642384106;-0,353200883002208;-0,200147167034584;1,70992366412214;99612;99603;3,4;0,1;0;0;1;0;0;
0,79;2,28403237674761;-0,047093451066961;-0,364974245768948;2,19847328244275;99590;99602;3,9;0,2;0;0;1;0;0;
0,8;2,68432671081678;-0,388520971302428;0;2,44274809160305;99592;99602;3,7;0,4;0;0;1;0;0;
0,81;2,43708609271523;-0,294334069168506;-0,0824135393671818;2,44274809160305;99593;99602;3,4;0,5;0;0;1;0;0;
0,82;2,8962472406181;-0,105960264900662;-0,141280353200883;2,68702290076336;99597;99602;3,7;0,7;0;0;1;0;0;
0,83;2,97866077998528;-0,105960264900662;-0,211920529801325;2,93129770992366;99608;99602;3,4;0,9;0;0;1;0;0;
0,84;2,8373804267844;-0,0235467255334805;-0,223693892568065;2,93129770992366;99604;99602;3,4;1,1;0;0;1;0;0;
0,85;3,06107431935247;0,141280353200883;-0,306107431935246;2,93129770992366;99609;99603;3,4;1,3;0;0;1;0;0;
0,86;3,0139808682855;-0,0588668138337013;-0,223693892568065;2,93129770992366;99606;99603;3,7;1,5;0;0;1;0;0;
0,87;2,8962472406181;0,188373804267844;0,235467255334805;2,93129770992366;99586;99602;3,4;1,7;0;0;1;0;0;
0,89;3,0139808682855;0,164827078734364;-0,164827078734364;2,93129770992366;99612;99603;3,7;2,1;0;0,1;1;0;0;
0,9;3,21412803532009;-0,0117733627667403;-0,105960264900662;2,93129770992366;99606;99604;3,7;2,3;0;0,1;1;0;0;
0,91;3,34363502575423;-0,0235467255334805;-0,200147167034584;2,93129770992366;99571;99602;3,7;2,5;0;0,1;1;0;0;
0,92;3,15526122148639;0,0706401766004415;-0,141280353200883;3,17557251908397;99594;99602;3,7;2,7;0;0,1;1;0;0;
0,93;3,24944812362031;-0,435614422369389;0,141280353200883;3,17557251908397;99600;99602;3,4;2,9;0;0,2;1;0;0;
